series_id,week_number,start_date,end_date,home_team_id,away_team_id,series_length
310,11,6/6/2026,7/26/2026,138,113,3
311,11,6/6/2026,6/7/2026,140,114,3
312,11,6/6/2026,6/7/2026,115,158,3
313,11,6/6/2026,6/7/2026,109,120,3
314,11,6/6/2026,6/7/2026,135,121,3
315,11,6/6/2026,6/7/2026,119,108,3
316,11,6/8/2026,6/11/2026,110,136,4
317,11,6/8/2026,9/20/2026,139,111,3
318,11,6/8/2026,6/10/2026,114,147,3
319,11,6/8/2026,6/10/2026,141,143,3
320,11,6/9/2026,7/30/2026,108,117,3
321,11,6/9/2026,6/10/2026,135,113,3
322,11,6/9/2026,6/10/2026,137,120,3
323,11,6/9/2026,6/11/2026,133,158,3
324,11,6/9/2026,6/11/2026,134,119,3
325,11,6/9/2026,9/9/2026,116,142,3
326,11,6/9/2026,6/11/2026,146,109,3
327,11,6/9/2026,6/11/2026,121,138,3
328,11,6/9/2026,6/11/2026,118,140,3
329,11,6/9/2026,6/11/2026,145,144,3
330,11,6/10/2026,6/11/2026,115,112,3
331,12,6/12/2026,6/14/2026,134,146,3
332,12,6/12/2026,6/14/2026,120,136,3
333,12,6/12/2026,6/14/2026,110,135,3
334,12,6/12/2026,9/6/2026,114,116,3
335,12,6/12/2026,6/14/2026,111,140,3
336,12,6/12/2026,6/14/2026,113,109,3
337,12,6/12/2026,7/29/2026,121,144,3
338,12,6/12/2026,8/16/2026,141,147,3
339,12,6/12/2026,6/14/2026,145,119,3
340,12,6/12/2026,6/14/2026,158,143,3
341,12,6/13/2026,6/14/2026,118,117,3
342,12,6/13/2026,6/14/2026,142,138,3
343,12,6/13/2026,6/14/2026,108,139,3
344,12,6/13/2026,6/14/2026,133,115,3
345,12,6/13/2026,6/14/2026,137,112,3
346,12,6/15/2026,8/19/2026,143,146,3
347,12,6/15/2026,6/17/2026,120,118,3
348,12,6/15/2026,6/17/2026,113,121,3
349,12,6/15/2026,6/17/2026,138,135,3
350,12,6/16/2026,6/18/2026,112,115,3
351,12,6/16/2026,6/18/2026,140,142,3
352,12,6/16/2026,6/17/2026,117,116,3
353,12,6/16/2026,6/17/2026,109,108,3
354,12,6/16/2026,6/18/2026,133,134,3
355,12,6/16/2026,6/17/2026,119,139,3
356,12,6/16/2026,7/26/2026,111,141,3
357,12,6/16/2026,6/18/2026,147,145,3
358,12,6/16/2026,6/18/2026,144,137,3
359,12,6/16/2026,6/18/2026,158,114,3
360,12,6/17/2026,6/18/2026,136,110,3
361,13,6/18/2026,7/19/2026,143,121,3
362,13,6/18/2026,6/21/2026,118,138,3
363,13,6/19/2026,9/24/2026,133,108,4
364,13,6/19/2026,6/21/2026,112,141,3
365,13,6/19/2026,8/16/2026,116,145,3
366,13,6/19/2026,6/21/2026,147,113,3
367,13,6/19/2026,6/21/2026,139,120,3
368,13,6/19/2026,6/21/2026,146,137,3
369,13,6/19/2026,6/21/2026,144,158,3
370,13,6/20/2026,6/21/2026,140,135,3
371,13,6/20/2026,6/21/2026,117,114,3
372,13,6/20/2026,6/21/2026,115,134,3
373,13,6/20/2026,6/21/2026,109,142,3
374,13,6/20/2026,6/21/2026,119,110,3
375,13,6/20/2026,6/21/2026,136,111,3
376,13,6/22/2026,6/25/2026,139,118,4
377,13,6/22/2026,6/24/2026,146,140,3
378,13,6/22/2026,6/24/2026,116,147,3
379,13,6/22/2026,9/16/2026,120,143,4
380,13,6/22/2026,6/24/2026,141,117,3
381,13,6/22/2026,6/25/2026,121,112,4
382,13,6/22/2026,9/6/2026,113,158,3
383,13,6/22/2026,6/24/2026,142,119,3
384,13,6/22/2026,8/9/2026,145,114,3
385,13,6/22/2026,6/25/2026,138,109,4
386,13,6/23/2026,6/24/2026,115,111,3
387,13,6/23/2026,6/24/2026,108,110,3
388,13,6/23/2026,6/25/2026,135,144,3
389,13,6/23/2026,6/25/2026,134,136,3
390,13,6/24/2026,6/25/2026,137,133,3
391,14,6/25/2026,6/28/2026,116,117,4
392,14,6/25/2026,6/28/2026,141,140,4
393,14,6/26/2026,6/28/2026,110,120,3
394,14,6/26/2026,6/28/2026,114,136,3
395,14,6/26/2026,6/28/2026,139,109,3
396,14,6/26/2026,9/20/2026,121,143,4
397,14,6/26/2026,9/9/2026,158,112,3
398,14,6/27/2026,6/28/2026,142,115,3
399,14,6/27/2026,6/28/2026,138,146,3
400,14,6/27/2026,6/28/2026,137,144,3
401,14,6/29/2026,7/1/2026,110,145,3
402,14,6/29/2026,7/2/2026,143,134,4
403,14,6/29/2026,7/1/2026,147,116,3
404,14,6/29/2026,7/1/2026,141,121,3
405,14,6/29/2026,7/1/2026,111,120,3
406,14,6/29/2026,7/1/2026,114,140,3
407,14,6/29/2026,9/13/2026,158,113,4
408,14,6/30/2026,7/1/2026,112,135,3
409,14,6/30/2026,7/2/2026,117,142,3
410,14,6/30/2026,7/2/2026,115,146,4
411,14,6/30/2026,7/2/2026,133,119,3
412,14,6/30/2026,9/27/2026,136,108,4
413,14,6/30/2026,7/2/2026,144,138,3
414,14,6/30/2026,7/2/2026,118,139,3
415,15,7/2/2026,9/16/2026,114,145,4
416,15,7/3/2026,7/5/2026,140,116,3
417,15,7/3/2026,9/25/2026,119,135,4
418,15,7/3/2026,8/16/2026,112,138,3
419,15,7/3/2026,7/5/2026,120,134,3
420,15,7/3/2026,7/5/2026,147,142,3
421,15,7/3/2026,7/5/2026,113,110,3
422,15,7/3/2026,8/12/2026,144,121,4
423,15,7/4/2026,7/5/2026,117,139,3
424,15,7/4/2026,7/6/2026,108,111,3
425,15,7/4/2026,7/5/2026,133,146,3
426,15,7/4/2026,7/5/2026,109,158,3
427,15,7/4/2026,7/5/2026,136,141,3
428,15,7/5/2026,7/6/2026,118,143,3
429,15,7/6/2026,7/8/2026,120,117,3
430,15,7/7/2026,9/27/2026,135,109,4
431,15,7/7/2026,7/8/2026,137,141,3
432,15,7/7/2026,7/9/2026,110,112,3
433,15,7/7/2026,7/9/2026,116,133,3
434,15,7/7/2026,7/9/2026,134,144,3
435,15,7/7/2026,7/9/2026,146,136,3
436,15,7/7/2026,7/9/2026,121,118,3
437,15,7/7/2026,7/9/2026,113,143,3
438,15,7/7/2026,9/13/2026,142,114,3
439,15,7/7/2026,7/9/2026,145,111,3
